reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
363da424-fcad-461b-8760-61ded6a0b1ac,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Semua aplikasi buatan pemerintah buruk, sudah isi formulir capek capek pas bagian klik daftar selalu tulisan yg keluar gagal coba lagi gak di aplikasi gak di browser situs resmi nya semua sama aja. Bikin aturan dan kebijakan baru bukan mempermudah malah mempersulit, mau berpartisipasi dan daftar ja sulit gimana nanti mejalani nya.",1,4,2.2.12,2026-06-15 04:52:14,,,2.2.12
0106fba8-ced9-4252-bcd4-9aba5bb694a3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gak bisa login baik di web maupun aplikasi padahal nomor sudah benar password juga sudah benar, ketika saya sudah masukin password dan nomor pas pencet masuk tuh ada tulisan loading habis itu gak masuk masuk ke aplikasi entahlah saya juga bingung,gak jelas",1,4,2.2.12,2026-06-13 00:37:52,,,2.2.12
6b6c49f6-cb85-4f3e-af08-6b038224cdc1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasinya masih banyak bugnya dan ui-nya juga masih banyak yang error dan gak sesuai terutama flag flagnya harus di optimasi lagi, kalau dijelasin satu satu mungkin kepanjangan intinya kira2 seperti itu saja.",1,1,2.2.12,2026-06-19 10:20:30,,,2.2.12
206a8767-da38-43af-9a2a-cfa5eee257da,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ini saya gatau ya, sudah saya coba² daftar NIB, password sudah sesuai kombinasinya, malah gabisa terus. Bagaimana mau memajukan UMKM kalau pendaftarannya saja ribet? Nanti karena malas daftar gara² APK nya bermasalah, ditertibkan. Sungguh tidak adil (kita itu sudah niat mau daftar. Tapi kalau susah begini, bagaimana mo cepat dan orang daftar izin usaha jdi mudah?)",1,40,2.2.12,2026-02-28 08:22:02,,,2.2.12
df25cce5-23eb-477a-9c9a-f30ccb6a2eec,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi layanan publik yang sangat asal asalan, hanya agar terkesan digitalisasi. Saat ingin mendaftar saja gagal terus. Dari dulu saya tak yakin dengan aplikasi pemerintahan, karena bukan memudahkan namun jadi membuat emosi dan buang buang waktu. Nampak sekali tak serius melayani rakyat, alih alih ingin membuat banyak aplikasi namun berujung kacau balau. Hanya ingin daftar saja susahnya setengah muampoooz, benar benar tak kompeten sekali kalian.",1,3,2.2.12,2026-06-15 03:31:00,,,2.2.12
c93b0fb6-311b-4bba-ae77-1daaffead0e9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kalo buat aplikasi untuk publik itu mbok ya yang jelas..... ini saat dibuka muncul panduan tapi saat diklik nggak bisa terahir malah nggak tersesia tombol navigasi untuk lngkah selanjutnya nya.... ini pasti dibuat dwngan anggaran negara yang tidak sedikit lo,1,3,2.2.12,2026-06-04 01:38:53,,,2.2.12
d35ebd7f-02d1-4c3c-9b97-e103d33d9456,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mau login udah gunakan password yang benar tetap gabisa, malah di arahkan untuk ganti password secara berkala, sudah 3 kali diganti dengan sesuai perintah tetap gabisa masuk, roman romannya disengaja banget biar gaada yang bisa buat surat izin NIB berusaha secara online. Harus ke kantor pusat ya? biar ada sogokan duit? biar lancar ngurus surat izin usaha? wkwkwk indonesia doang emang paling jaya, berbasis aplikasi aja masih bisa dimainkan, TERBACA BOY!!!",1,1,2.2.12,2026-06-14 18:16:43,,,2.2.12
d5df2a50-1dd1-4b66-bb64-28b979736dee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Lebih bagus versi sebelumnya, tambah diupdate kok tambah sulit, Di daftar jenis Usaha tiap KBLI juga sekarang tidak tersedia opsi Lainya, jadi susah kalau tidak cocok persis dengan List-nya. Contoh Kue Pisang Coklat tidak tersedia,, padahal seharusnya masuk KBLI Industri Roti dan Kue. Mau apalagi wong di listnya terbatas itu saja... Hadeh",3,30,2.0.0,2023-12-19 08:02:07,Hai #TemanBoss! Mohon maaf atas kendala yang Bapak/Ibu alami. Silakan menginformasikan secara detail fitur yang dimaksud melalui layanan whatsapp kami (+628116774642) yang tersedia setiap hari kerja pada pukul 08.00-16.00 WIB.,2024-02-13 04:02:25,2.0.0
e4159aa8-5769-4ffa-907c-c2201fa49a43,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi ini masih banyak Bug. yang baru sy temukan : 1. pindai barcode NIB tidak bisa 2. Tidak bisa menambahkan KBLI 3. Tidak bisa unduh NIB jadi aplikasi ini hanya untuk review/lihat ² saja. semuanya masih harus lewat websitenya. semoga developer aplikasi bisa baca !,3,8,2.2.12,2026-04-18 03:46:09,,,2.2.12
f1eb9d9d-cb5f-40b3-83e1-f65813d2ffd8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus sih seharusnya. Namun sayang banyak error di dalamnya, saya belum pernah memberikan bintang 1 sebelumnya, namun saya sudah sangat kecewa karena appnya tidak membantu. Ditambah lagi ketika complain ke CS responnya sangat lama, selain itu pelayanan yang sangat sangat tidak memuaskan dan tidak ramah, serta tidak membantu apalagi memudahkan. Sayang banget dana negara ya :"") Kenapa yg impiannya ""memudahkan"" malah ""menyulitkan"" ya rasanya",1,78,1.4,2022-04-21 06:42:28,Hai #TemanBoss! Mohon maaf atas kendala yang Bapak/Ibu alami. Silakan menginformasikan secara detail fitur yang dimaksud melalui layanan whatsapp kami (+628116774642) yang tersedia setiap hari kerja pada pukul 08.00-16.00 WIB.,2024-02-12 07:58:12,1.4
